Organization Name,Organization Name URL,Operating Status,Headquarters Location,Number of Employees,Description,Full Description,Industries,Founded Date,Founded Date Precision,Industry Groups,Top 5 Investors,IPO Status,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),Apptopia - Downloads Last 30 Days,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Number of Lead Investors,Number of Investors,Closed Date,Closed Date Precision,Estimated Revenue Range
One Click Delivery Services,https://www.crunchbase.com/organization/one-click-delivery-services,Active,"Dubai, Dubai, United Arab Emirates",51-100,A  last-mile logistics tech startup Company,"One Click Delivery Services redefines last mile delivery throughout the region. By providing seamless and personalized delivery from local businesses to the consumer’s doorstep, They are closing the last-mile gap between merchants and their customers. Their entire last mile and on-demand delivery is technology-enabled, with a robust delivery management system featuring GPS locations tracking and automated customer notifications.","Delivery Service, E-Commerce, Information Technology, Internet, Logistics, Software, Supply Chain Management",2016-01-01,month,"Commerce and Shopping, Information Technology, Internet Services, Software, Transportation","Faith Capital, Middle East Venture Partners (MEVP)",Private,"2,311,979","2,154,402.83",,Series B,,,,Series B,,,,,,,,,,2,1,2,,,$1M to $10M
ABW Dynamics,https://www.crunchbase.com/organization/kot-2,Active,"Moscow, Moscow City, Russian Federation",1-10,ABW Dynamics provides solutions that enables private car owners to track where the car is.,"A set of solutions that enables private car owners to track where the car is, if it is closed, notify the impact and timing of the MOT, to control the costs of gasoline and driving style; STO and dealerships - to support the customer remotely, read errors, track mileage and invite the client to the TO; Business Park - to monitor fuel consumption, mileage and driving quality, the presence of faults, the load during transport.","Automotive, Information Technology, Logistics, Software",,,"Information Technology, Software, Transportation",Internet Initiatives Development Fund (IIDF),Private,,,,Seed,,,,Seed,,,,2100000,USD,2100000,2100000,USD,2100000,2,,1,,,
TransCTRL Kft,https://www.crunchbase.com/organization/transctrl-kft,Active,"Budapest, Budapest, Hungary",11-50,"TransCTRL provides logistics solutions to increase customer's operational efficiency in intralogistics, warehousing, and freight.",,"Logistics, Software, Supply Chain Management",2016-01-01,year,"Software, Transportation",Hiventures,Private,,,,Seed,484000,EUR,579351,Seed,484000,EUR,579351,484000,EUR,579351,484000,EUR,579351,1,,1,,,
EEE Innovations,https://www.crunchbase.com/organization/eee-innovations,Active,"Lohja, Southern Finland, Finland",1-10,EEE Innovations helps drivers to drive smarter on the basis of data collected from vehicles themselves and from other sources.,EEE Innovations helps drivers to drive smarter with information gathered from the vehicle itself as well as from other sources.,"Information Technology, Logistics, Software, Transportation",2014-01-01,year,"Information Technology, Software, Transportation",Innovestor,Private,,,,Venture - Series Unknown,450000,EUR,529380,Venture - Series Unknown,450000,EUR,529380,450000,EUR,529380,450000,EUR,529380,1,1,1,,,Less than $1M
E-View,https://www.crunchbase.com/organization/e-view-f3f1,Active,"Guangzhou, Guangdong, China",11-50,E-View provides professional and advanced computer management systems and services for the shipping and logistics industries.,,"Information Technology, Logistics, Software",2000-04-25,day,"Information Technology, Software, Transportation","Yunhuogui, Gangji Xinxi, Guangtou Touzi",Private,,,,Series A,10000000,CNY,1473626,Series A,10000000,CNY,1473626,13000000,CNY,1944425,13000000,CNY,1944425,2,,3,,,
WASCO|LAB,https://www.crunchbase.com/organization/wasco-lab,Closed,"Manama, Al Manamah, Bahrain",1-10,WASCO provides hardware and software solutions for municipalities and private waste collection companies,,"CleanTech, Data Visualization, Internet of Things, Logistics, Software, Waste Management",2018-01-01,year,"Data and Analytics, Design, Information Technology, Internet Services, Software, Sustainability, Transportation","Brinc, BP",Private,,,,Pre-Seed,53000,USD,53000,Pre-Seed,53000,USD,53000,53000,USD,53000,53000,USD,53000,2,,2,,none,
LogisticxPro,https://www.crunchbase.com/organization/logisticxpro,Active,"Singapore, Central Region, Singapore",51-100,"Dynamic job allocation using advanced routing and scheduling, enabling no code solution for custom workflows and digital POD.","Dynamic job allocation using advanced routing and scheduling, enabling no code solution for custom workflows and digital POD.","Logistics, Software, Transportation, Travel",2014-01-01,year,"Software, Transportation, Travel and Tourism",Harry Radha,Private,,,,Seed,250000,USD,250000,Seed,250000,USD,250000,250000,USD,250000,250000,USD,250000,1,,1,,,$10M to $50M
Lean Systems,https://www.crunchbase.com/organization/lean-systems,Active,"New York, New York, United States",1-10,Lean Systems provides top-tier optimization for transportation and logistics.,"Lean Systems provides top-tier optimization for transportation and logistics. They provide cloud-based software that automates and optimizes their scheduling and routing, saving them thousands per month. Instead of spending hours scheduling employees and routing vehicles, transportation companies can send their data to the Lean Systems solver via their API. Their proprietary solver takes into consideration industry- and organization-specific rules, while applying the most advanced optimization available.  The problem is solved in minutes, instead of hours, and fully optimized routes and schedules are returned to the client. ","Cloud Management, Logistics, Software, Transportation",2015-01-01,year,"Information Technology, Internet Services, Software, Transportation","Techstars, Right Side Capital Management, Techstars New York City Accelerator",Private,,,,Pre-Seed,120000,USD,120000,Pre-Seed,120000,USD,120000,120000,USD,120000,120000,USD,120000,1,,3,,,Less than $1M
Netstock,https://www.crunchbase.com/organization/netstock,Active,"Denver, Colorado, United States",11-50,Netstock is a vision of delivering cloud-based inventory optimization solutions to small and medium sized businesses around the world.,"Netstock is a vision of delivering cloud-based inventory optimization solutions to small and medium sized businesses around the world. NETSTOCK is a leading inventory optimization platform serving over 1600 customers around the globe, managing over 100 million products with a combined inventory holding of $15.5 billion. At its core, NETSTOCK believes that every small and medium sized business deserves to compete in the market. With its advanced cloud-based solution, customers of NETSTOCK are able to achieve a reduction in excess stock, faster ordering times, and a reduction in stock-outs, ensuring optimal inventory investment.","Logistics, Software, Supply Chain Management",2009-01-01,year,"Software, Transportation",,Private,"116,617","285,349",,,,,,,,,,,,,,,,,,,,,$1M to $10M
GEESE,https://www.crunchbase.com/organization/geese,Active,"Hangzhou, Zhejiang, China",11-50,GEESE develops software to provide digital logistics services in colleges and universities.,,"Logistics, Software, Universities",2015-03-24,day,"Other, Software, Transportation",,Private,,,,Series A,10000000,CNY,1542369,Series A,10000000,CNY,1542369,13000000,CNY,2027335,13000000,CNY,2027335,2,,,,,
ChainGO Tech,https://www.crunchbase.com/organization/chaingo-tech,Active,"Madrid, Madrid, Spain",1-10,ChainGO Tech is a blockchain solutions for the international trading and logistics industry.,"ChainGO Tech began as an academic project inside of the entrepreneurship focused International-MBA at the world-renowned Instituto de Empresa in Madrid, Spain. Founders Jordan Sorensen and Andres Garrido met and incubated the idea with various classmates growing the idea from a seed until finally graduating while winning the IE Venture day entrepreneurship prize for Best IMBA Start-up. Participating in an event like Venture Day allowed the team to get in front of industry players and business angels who took an interest in the potential of the idea and the team behind it. Enter Magic. Officially licensing the company as ChainGO Tech S.L. in the Summer of 2017, the team has been a force through the Spanish logistics sector connecting with players all over the country for pilot projects to full scale collaborations. Participating both with the emerging blockchain community and presenting at well-known logistics events like SIL Barcelona and Logistop the team has been able to promote and evangelize both the technology and ChainGO’s unique vision to bring full interoperability to the fractured and often chaotic international trade industry. Ultimately, this energy and high level of engagement with clients and potential clients help the team launch their first full commercial product ChainGO Freight in 2019.","Blockchain, Information Technology, Logistics, Software, Supply Chain Management",2017-08-01,day,"Information Technology, Other, Software, Transportation","Blockchers, Lanzadera Accelerator, Desafia, Mondragón Corp., BARLAB MAHOU SANMIGUEL",Private,225,"1,808.83",,Venture - Series Unknown,950000,EUR,1162563,Venture - Series Unknown,950000,EUR,1162563,1162563,USD,1162563,1165873,USD,1165873,7,1,8,,,$1M to $10M
LANQIAO SOFTWARE,https://www.crunchbase.com/organization/lanqiao-software,Active,"Guangzhou, Guangdong, China",251-500,LANQIAO SOFTWARE is an enterprise management software development company for logistics industries.,,"Information Services, Information Technology, Logistics, Software",2002-03-01,day,"Information Technology, Software, Transportation",Huochebang,Private,"1,166",,,Angel,3000000,CNY,472150,Angel,3000000,CNY,472150,3000000,CNY,472150,3000000,CNY,472150,1,1,1,,,
Waldo Solutions,https://www.crunchbase.com/organization/waldo-solutions,Active,"Chassell, Michigan, United States",,Waldo Solutions allows the flow of wood to be controlled and analyzed.,"Waldo Solutions allows the flow of wood to be controlled and analyzed. It mitigates the paper trail in the process of hauling. Anything that was once paper can now be organized within the app – never lost or mistracked.  The company is headquartered in Chassell, Michigan.","Information Technology, Logistics, Software",,,"Information Technology, Software, Transportation",,Private,,,,Seed,378080,USD,378080,Seed,378080,USD,378080,378080,USD,378080,378080,USD,378080,1,,,,,
Box2Box,https://www.crunchbase.com/organization/box2box,Active,"Moscow, Moscow City, Russian Federation",11-50,"Box2Box provide excellent software for working with orders, as well as help with the API-integration! Shopkeepers.","Box2Box provide excellent software for working with orders, as well as help with the API-integration! Shopkeepers.","Logistics, Software, Supply Chain Management",2014-01-01,year,"Software, Transportation",,Private,,,,Venture - Series Unknown,500000,USD,500000,Venture - Series Unknown,500000,USD,500000,500000,USD,500000,500000,USD,500000,1,,,,,$1M to $10M
